Flight Number;Orig;Dest;A/C;Weekday_Z;STD-HH:MM;STA-HH:MM;DD_Z;Net Payload;Net Volume;key
QY7023;NAP;MXP;ABY;Thu;19:15;20:50;;46000;386;NAP/MXP/2024-09-12 19:15:00
QY7023;NAP;MXP;ABY;Fri;19:15;20:50;;46000;386;NAP/MXP/2024-09-13 19:15:00
ES401;NBO;BAH;76V;Mon;17:30;22:45;;47650;442;NBO/BAH/2024-09-09 17:30:00
ES405;NBO;JED;76V;Tue;13:35;17:40;;47650;442;NBO/JED/2024-09-10 13:35:00
ES405;NBO;JED;76V;Wed;13:35;17:40;;47650;442;NBO/JED/2024-09-11 13:35:00
ES401;NBO;BAH;76V;Thu;17:30;22:45;;47650;442;NBO/BAH/2024-09-12 17:30:00
ES401;NBO;BAH;76V;Fri;17:30;22:45;;47650;442;NBO/BAH/2024-09-13 17:30:00
ES405;NBO;JED;76V;Sat;13:35;17:40;;47650;442;NBO/JED/2024-09-14 13:35:00
ES405;NBO;JED;76V;Sun;13:35;17:40;;47650;442;NBO/JED/2024-09-15 13:35:00
D01;NGO;CVG;77X;Mon;16:05;04:35;1.0;77350;645;NGO/CVG/2024-09-09 16:05:00
K4231;NGO;CVG;77X;Mon;17:15;05:45;1.0;77350;645;NGO/CVG/2024-09-09 17:15:00
SQ7408;NGO;LAX;77X;Mon;21:50;07:55;1.0;77350;645;NGO/LAX/2024-09-09 21:50:00
D02;NGO;HKG;77X;Tue;04:35;08:50;;77350;645;NGO/HKG/2024-09-10 04:35:00
D03;NGO;CVG;77X;Tue;16:40;05:10;1.0;77350;645;NGO/CVG/2024-09-10 16:40:00
K4217;NGO;CVG;77X;Tue;17:15;05:45;1.0;77350;645;NGO/CVG/2024-09-10 17:15:00
SQ7402;NGO;LAX;77X;Tue;21:50;07:55;1.0;77350;645;NGO/LAX/2024-09-10 21:50:00
D01;NGO;CVG;77X;Wed;15:30;04:00;1.0;77350;645;NGO/CVG/2024-09-11 15:30:00
D08;NGO;HKG;77X;Wed;03:35;07:50;;77350;645;NGO/HKG/2024-09-11 03:35:00
K4219;NGO;CVG;77X;Wed;17:15;05:45;1.0;77350;645;NGO/CVG/2024-09-11 17:15:00
SQ7414;NGO;LAX;77X;Wed;21:50;07:55;1.0;77350;645;NGO/LAX/2024-09-11 21:50:00
D02;NGO;HKG;77X;Thu;03:35;07:50;;77350;645;NGO/HKG/2024-09-12 03:35:00
D03;NGO;CVG;77X;Thu;15:30;04:00;1.0;77350;645;NGO/CVG/2024-09-12 15:30:00
K4217;NGO;CVG;77X;Thu;17:15;05:45;1.0;77350;645;NGO/CVG/2024-09-12 17:15:00
SQ7404;NGO;LAX;77X;Thu;22:05;08:10;1.0;77350;645;NGO/LAX/2024-09-12 22:05:00
D01;NGO;CVG;77X;Fri;15:30;04:00;1.0;77350;645;NGO/CVG/2024-09-13 15:30:00
D04;NGO;HKG;77X;Fri;03:35;07:50;;77350;645;NGO/HKG/2024-09-13 03:35:00
K4219;NGO;CVG;77X;Fri;18:45;07:15;1.0;77350;645;NGO/CVG/2024-09-13 18:45:00
K4229;NGO;CVG;77X;Fri;03:55;16:25;;77350;645;NGO/CVG/2024-09-13 03:55:00
SQ7412;NGO;CVG;77X;Fri;22:45;11:30;1.0;77350;645;NGO/CVG/2024-09-13 22:45:00
D02;NGO;HKG;77X;Sat;03:35;07:50;;77350;645;NGO/HKG/2024-09-14 03:35:00
D03;NGO;CVG;77X;Sat;16:05;04:35;1.0;77350;645;NGO/CVG/2024-09-14 16:05:00
D0537;NGO;CVG;77X;Sat;01:30;14:00;;77350;645;NGO/CVG/2024-09-14 01:30:00
K4223;NGO;CVG;77X;Sat;11:55;00:25;1.0;77350;645;NGO/CVG/2024-09-14 11:55:00
D04;NGO;HKG;77X;Sun;06:30;10:45;;77350;645;NGO/HKG/2024-09-15 06:30:00
K4211;NGO;LAX;77X;Sun;06:10;16:15;;77350;645;NGO/LAX/2024-09-15 06:10:00
SQ7411;NGO;SIN;77X;Sun;06:35;13:40;;77350;645;NGO/SIN/2024-09-15 06:35:00
SQ7434;NGO;CVG;77X;Sun;09:45;22:30;;77350;645;NGO/CVG/2024-09-15 09:45:00
SQ7445;NGO;SIN;77X;Sun;23:10;06:15;1.0;77350;645;NGO/SIN/2024-09-15 23:10:00
SQ7448;NGO;LAX;77X;Sun;02:15;12:20;;77350;645;NGO/LAX/2024-09-15 02:15:00
W8951;NLU;CVG;76Y;Tue;03:00;06:45;;47650;442;NLU/CVG/2024-09-10 03:00:00
W8951;NLU;CVG;76Y;Wed;03:00;06:45;;47650;442;NLU/CVG/2024-09-11 03:00:00
W8951;NLU;CVG;76Y;Thu;03:00;06:45;;47650;442;NLU/CVG/2024-09-12 03:00:00
W8951;NLU;CVG;76Y;Fri;03:00;06:45;;47650;442;NLU/CVG/2024-09-13 03:00:00
W8951;NLU;CVG;76Y;Sat;03:00;06:45;;47650;442;NLU/CVG/2024-09-14 03:00:00
W8906;NLU;CVG;76Y;Sun;17:40;21:25;;47650;442;NLU/CVG/2024-09-15 17:40:00
PO958;NRT;HKG;74N;Mon;05:15;10:30;;102300;853;NRT/HKG/2024-09-09 05:15:00
3S596;NRT;HKG;77X;Mon;13:00;18:15;;77350;645;NRT/HKG/2024-09-09 13:00:00
PO752;NRT;LAX;74N;Tue;00:50;10:50;;102300;853;NRT/LAX/2024-09-10 00:50:00
3S594;NRT;HKG;77X;Tue;01:45;07:00;;77350;645;NRT/HKG/2024-09-10 01:45:00
PO997;NRT;PVG;77X;Tue;06:30;10:15;;77350;645;NRT/PVG/2024-09-10 06:30:00
PO751;NRT;SZX;74N;Wed;11:00;16:30;;102300;853;NRT/SZX/2024-09-11 11:00:00
PO752;NRT;LAX;74N;Wed;00:50;10:50;;102300;853;NRT/LAX/2024-09-11 00:50:00
3S590;NRT;HKG;77X;Wed;02:15;07:30;;77350;645;NRT/HKG/2024-09-11 02:15:00
K4218;NRT;ICN;77X;Wed;01:15;04:15;;77350;645;NRT/ICN/2024-09-11 01:15:00
PO751;NRT;SZX;74N;Thu;11:00;16:30;;102300;853;NRT/SZX/2024-09-12 11:00:00
PO752;NRT;LAX;74N;Thu;00:50;10:50;;102300;853;NRT/LAX/2024-09-12 00:50:00
3S590;NRT;HKG;77X;Thu;02:30;07:45;;77350;645;NRT/HKG/2024-09-12 02:30:00
K4216;NRT;ICN;77X;Thu;01:15;04:15;;77350;645;NRT/ICN/2024-09-12 01:15:00
PO752;NRT;LAX;74N;Fri;00:50;10:50;;102300;853;NRT/LAX/2024-09-13 00:50:00
3S594;NRT;HKG;77X;Fri;02:30;07:45;;77350;645;NRT/HKG/2024-09-13 02:30:00
K4218;NRT;ICN;77X;Fri;01:15;04:15;;77350;645;NRT/ICN/2024-09-13 01:15:00
PO717;NRT;PVG;74N;Sat;13:30;17:15;;102300;853;NRT/PVG/2024-09-14 13:30:00
PO964;NRT;LAX;74N;Sat;02:50;12:50;;102300;853;NRT/LAX/2024-09-14 02:50:00
PO934;NRT;SZX;74N;Sat;13:00;18:30;;102300;853;NRT/SZX/2024-09-14 13:00:00
PO991;NRT;PVG;77X;Sat;14:00;17:45;;77350;645;NRT/PVG/2024-09-14 14:00:00
PO962;NRT;LAX;74N;Sun;03:05;13:05;;102300;853;NRT/LAX/2024-09-15 03:05:00
3S588;NRT;SZX;77X;Sun;13:00;18:15;;77350;645;NRT/SZX/2024-09-15 13:00:00
PO718;NRT;CVG;77X;Sun;03:10;15:20;;77350;645;NRT/CVG/2024-09-15 03:10:00
QY8213;OPO;BRU;ABY;Mon;20:00;22:20;;46000;386;OPO/BRU/2024-09-09 20:00:00
QY6773;OPO;LHR;ABY;Tue;18:35;21:00;;46000;386;OPO/LHR/2024-09-10 18:35:00
QY6773;OPO;LHR;ABY;Wed;18:35;21:00;;46000;386;OPO/LHR/2024-09-11 18:35:00
QY6773;OPO;LHR;ABY;Thu;18:35;21:00;;46000;386;OPO/LHR/2024-09-12 18:35:00
QY8213;OPO;BRU;ABY;Fri;19:30;21:50;;46000;386;OPO/BRU/2024-09-13 19:30:00
3S443;ORD;FRA;77X;Mon;09:35;17:40;;77350;645;ORD/FRA/2024-09-09 09:35:00
GB397;ORD;CVG;76Y;Tue;05:24;06:49;;47650;442;ORD/CVG/2024-09-10 05:24:00
3S449;ORD;FRA;77X;Tue;02:35;10:40;;77350;645;ORD/FRA/2024-09-10 02:35:00
K4614;ORD;ICN;74Y;Wed;01:00;15:40;;87050;725;ORD/ICN/2024-09-11 01:00:00
GB397;ORD;CVG;76Y;Wed;05:24;06:49;;47650;442;ORD/CVG/2024-09-11 05:24:00
GB397;ORD;CVG;76Y;Thu;05:24;06:49;;47650;442;ORD/CVG/2024-09-12 05:24:00
3S443;ORD;FRA;77X;Thu;09:35;17:40;;77350;645;ORD/FRA/2024-09-12 09:35:00
K4226;ORD;ICN;77X;Thu;00:15;14:55;;77350;645;ORD/ICN/2024-09-12 00:15:00
K4614;ORD;ICN;74Y;Fri;01:00;15:40;;87050;725;ORD/ICN/2024-09-13 01:00:00
GB397;ORD;CVG;76Y;Fri;05:24;06:49;;47650;442;ORD/CVG/2024-09-13 05:24:00
3S449;ORD;FRA;77X;Fri;08:15;16:20;;77350;645;ORD/FRA/2024-09-13 08:15:00
K4226;ORD;ICN;77X;Fri;22:50;13:30;1.0;77350;645;ORD/ICN/2024-09-13 22:50:00
GB397;ORD;CVG;76Y;Sat;05:24;06:49;;47650;442;ORD/CVG/2024-09-14 05:24:00
3S445;ORD;FRA;77X;Sun;02:10;10:15;;77350;645;ORD/FRA/2024-09-15 02:10:00
3S447;ORD;FRA;77X;Sun;06:50;14:55;;77350;645;ORD/FRA/2024-09-15 06:50:00
K4224;ORD;ICN;77X;Sun;00:30;15:10;;77350;645;ORD/ICN/2024-09-15 00:30:00
K4228;ORD;ICN;77X;Sun;22:15;12:55;1.0;77350;645;ORD/ICN/2024-09-15 22:15:00
QY3317;OSL;CPH;ABY;Mon;19:40;20:55;;46000;386;OSL/CPH/2024-09-09 19:40:00
QY3317;OSL;CPH;ABY;Tue;19:40;20:55;;46000;386;OSL/CPH/2024-09-10 19:40:00
QY3317;OSL;CPH;ABY;Wed;19:40;20:55;;46000;386;OSL/CPH/2024-09-11 19:40:00
QY3317;OSL;CPH;ABY;Thu;19:40;20:55;;46000;386;OSL/CPH/2024-09-12 19:40:00
QY3315;OSL;LEJ;ABY;Fri;20:40;22:35;;46000;386;OSL/LEJ/2024-09-13 20:40:00
QY5707;OTP;MXP;ABY;Mon;18:00;20:25;;46000;386;OTP/MXP/2024-09-09 18:00:00
QY139;OTP;MXP;ABY;Tue;18:00;20:25;;46000;386;OTP/MXP/2024-09-10 18:00:00
QY139;OTP;MXP;ABY;Wed;18:00;20:25;;46000;386;OTP/MXP/2024-09-11 18:00:00
QY139;OTP;MXP;ABY;Thu;18:00;20:25;;46000;386;OTP/MXP/2024-09-12 18:00:00
QY133;OTP;MXP;ABY;Fri;18:00;20:25;;46000;386;OTP/MXP/2024-09-13 18:00:00
GB810;PHX;LAX;76Y;Sun;14:40;16:05;;47650;442;PHX/LAX/2024-09-15 14:40:00
QY7859;PSA;LEJ;ABY;Mon;21:25;23:15;;46000;386;PSA/LEJ/2024-09-09 21:25:00
QY7859;PSA;LEJ;ABY;Tue;21:25;23:15;;46000;386;PSA/LEJ/2024-09-10 21:25:00
QY7859;PSA;LEJ;ABY;Wed;21:25;23:15;;46000;386;PSA/LEJ/2024-09-11 21:25:00
QY7859;PSA;LEJ;ABY;Thu;21:25;23:15;;46000;386;PSA/LEJ/2024-09-12 21:25:00
QY7859;PSA;LEJ;ABY;Fri;21:25;23:15;;46000;386;PSA/LEJ/2024-09-13 21:25:00
GB902;PTY;SJO;76Y;Mon;20:25;21:55;;47650;442;PTY/SJO/2024-09-09 20:25:00
GB902;PTY;SJO;76Y;Tue;20:25;21:55;;47650;442;PTY/SJO/2024-09-10 20:25:00
GB902;PTY;SJO;76Y;Wed;20:25;21:55;;47650;442;PTY/SJO/2024-09-11 20:25:00
GB902;PTY;SJO;76Y;Thu;20:25;21:55;;47650;442;PTY/SJO/2024-09-12 20:25:00
GB902;PTY;SJO;76Y;Fri;20:25;21:55;;47650;442;PTY/SJO/2024-09-13 20:25:00
GB5230;PTY;SJO;76Y;Sat;19:30;21:00;;47650;442;PTY/SJO/2024-09-14 19:30:00
3S571;PVG;LEJ;77X;Mon;19:40;08:55;1.0;77350;645;PVG/LEJ/2024-09-09 19:40:00
D051;PVG;LAX;77X;Mon;20:00;08:15;1.0;77350;645;PVG/LAX/2024-09-09 20:00:00
PO998;PVG;ANC;77X;Mon;12:45;21:45;;77350;645;PVG/ANC/2024-09-09 12:45:00
3S571;PVG;LEJ;77X;Tue;19:40;08:55;1.0;77350;645;PVG/LEJ/2024-09-10 19:40:00
D053;PVG;LAX;77X;Tue;20:15;08:30;1.0;77350;645;PVG/LAX/2024-09-10 20:15:00
PO998;PVG;ANC;77X;Tue;12:45;21:45;;77350;645;PVG/ANC/2024-09-10 12:45:00
3S565;PVG;LEJ;77X;Wed;21:30;10:45;1.0;77350;645;PVG/LEJ/2024-09-11 21:30:00
D051;PVG;LAX;77X;Wed;20:00;08:15;1.0;77350;645;PVG/LAX/2024-09-11 20:00:00
