Flight Number,Orig,Dest,A/C,Weekday_Z,DD_Z,Net Payload,Net Volume,Weekday_num,deptime,arrtime,key,key+
SQ7407,HNL,SIN,77X,Tue,1.0,77350,645,1,2024-09-10 22:35:00,2024-09-11 12:00:00,HNL/SIN/2024-09-10 22:35:00,HNL/SIN/2024-09-10 22:35:00/SQ7407
SQ7401,HNL,SIN,77X,Wed,1.0,77350,645,2,2024-09-11 22:50:00,2024-09-12 12:15:00,HNL/SIN/2024-09-11 22:50:00,HNL/SIN/2024-09-11 22:50:00/SQ7401
SQ7439,HNL,SYD,77X,Wed,1.0,77350,645,2,2024-09-11 22:50:00,2024-09-12 09:25:00,HNL/SYD/2024-09-11 22:50:00,HNL/SYD/2024-09-11 22:50:00/SQ7439
SQ7413,HNL,SIN,77X,Thu,1.0,77350,645,3,2024-09-12 23:00:00,2024-09-13 12:25:00,HNL/SIN/2024-09-12 23:00:00,HNL/SIN/2024-09-12 23:00:00/SQ7413
SQ7441,HNL,SYD,77X,Thu,1.0,77350,645,3,2024-09-12 22:50:00,2024-09-13 09:25:00,HNL/SYD/2024-09-12 22:50:00,HNL/SYD/2024-09-12 22:50:00/SQ7441
SQ7431,HNL,SYD,77X,Fri,1.0,77350,645,4,2024-09-13 22:50:00,2024-09-14 09:25:00,HNL/SYD/2024-09-13 22:50:00,HNL/SYD/2024-09-13 22:50:00/SQ7431
SQ7403,HNL,SIN,77X,Fri,1.0,77350,645,4,2024-09-13 22:30:00,2024-09-14 11:55:00,HNL/SIN/2024-09-13 22:30:00,HNL/SIN/2024-09-13 22:30:00/SQ7403
GB107,HRL,CVG,76Y,Tue,,47650,442,1,2024-09-10 04:18:00,2024-09-10 07:13:00,HRL/CVG/2024-09-10 04:18:00,HRL/CVG/2024-09-10 04:18:00/GB107
GB107,HRL,CVG,76Y,Wed,,47650,442,2,2024-09-11 04:18:00,2024-09-11 07:13:00,HRL/CVG/2024-09-11 04:18:00,HRL/CVG/2024-09-11 04:18:00/GB107
GB107,HRL,CVG,76Y,Thu,,47650,442,3,2024-09-12 04:18:00,2024-09-12 07:13:00,HRL/CVG/2024-09-12 04:18:00,HRL/CVG/2024-09-12 04:18:00/GB107
GB107,HRL,CVG,76Y,Fri,,47650,442,4,2024-09-13 04:18:00,2024-09-13 07:13:00,HRL/CVG/2024-09-13 04:18:00,HRL/CVG/2024-09-13 04:18:00/GB107
GB107,HRL,CVG,76Y,Sat,,47650,442,5,2024-09-14 04:18:00,2024-09-14 07:13:00,HRL/CVG/2024-09-14 04:18:00,HRL/CVG/2024-09-14 04:18:00/GB107
3S627,HYD,FRA,77X,Fri,,77350,645,4,2024-09-13 04:40:00,2024-09-13 14:45:00,HYD/FRA/2024-09-13 04:40:00,HYD/FRA/2024-09-13 04:40:00/3S627
GB120,IAH,CVG,76Y,Tue,,47650,442,1,2024-09-10 04:20:00,2024-09-10 06:45:00,IAH/CVG/2024-09-10 04:20:00,IAH/CVG/2024-09-10 04:20:00/GB120
GB120,IAH,CVG,76Y,Wed,,47650,442,2,2024-09-11 04:20:00,2024-09-11 06:45:00,IAH/CVG/2024-09-11 04:20:00,IAH/CVG/2024-09-11 04:20:00/GB120
GB120,IAH,CVG,76Y,Thu,,47650,442,3,2024-09-12 04:20:00,2024-09-12 06:45:00,IAH/CVG/2024-09-12 04:20:00,IAH/CVG/2024-09-12 04:20:00/GB120
GB120,IAH,CVG,76Y,Fri,,47650,442,4,2024-09-13 04:20:00,2024-09-13 06:45:00,IAH/CVG/2024-09-13 04:20:00,IAH/CVG/2024-09-13 04:20:00/GB120
GB120,IAH,CVG,76Y,Sat,,47650,442,5,2024-09-14 04:20:00,2024-09-14 06:45:00,IAH/CVG/2024-09-14 04:20:00,IAH/CVG/2024-09-14 04:20:00/GB120
3S467,IAH,SVG,77X,Sat,,77350,645,5,2024-09-14 07:05:00,2024-09-14 16:05:00,IAH/SVG/2024-09-14 07:05:00,IAH/SVG/2024-09-14 07:05:00/3S467
3S469,IAH,FRA,77X,Sun,1.0,77350,645,6,2024-09-15 23:30:00,2024-09-16 09:00:00,IAH/FRA/2024-09-15 23:30:00,IAH/FRA/2024-09-15 23:30:00/3S469
PO747,ICN,SZX,74N,Mon,,102300,853,0,2024-09-09 11:55:00,2024-09-09 16:20:00,ICN/SZX/2024-09-09 11:55:00,ICN/SZX/2024-09-09 11:55:00/PO747
PO916,ICN,LAX,74N,Mon,1.0,102300,853,0,2024-09-09 18:00:00,2024-09-10 05:10:00,ICN/LAX/2024-09-09 18:00:00,ICN/LAX/2024-09-09 18:00:00/PO916
